stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
1001_01,,伊野,,33.548379,133.428492,E1,,0,,
1001_02,,伊野,,33.548335,133.428568,W0,,0,,
1002_01,,伊野駅前,,33.548444,133.429747,E11,,0,,
1002_02,,伊野駅前,,33.548455,133.430095,W0,,0,,
1003_01,,鳴谷,,33.548708,133.433353,E11,,0,,
1003_02,,鳴谷,,33.548679,133.433283,W0,,0,,
1004_01,,北山,,33.549156,133.438535,E11,,0,,
1004_02,,北山,,33.549114,133.438461,W0,,0,,
1005_01,,北内,,33.549857,133.442192,E11,,0,,
1005_02,,北内,,33.549716,133.441505,W0,,0,,
1006_01,,伊野商業前,,33.550243,133.44441,E11,,0,,
1006_02,,伊野商業前,,33.550223,133.444477,W0,,0,,
1007_01,,枝川,,33.551364,133.449572,E11,,0,,
1007_02,,枝川,,33.551323,133.449533,1007_02,,0,,
1008_01,,中山,,33.551724,133.452861,E11,,0,,
1008_02,,中山,,33.551711,133.453126,W0,,0,,
1009_01,,八代通,,33.552211,133.456563,E2,,0,,
1009_02,,八代通,,33.552174,133.456612,W1,,0,,
1010_01,,宇治団地前,,33.551877,133.461343,E21,,0,,
1010_02,,宇治団地前,,33.551853,133.461394,W11,,0,,
1011_01,,咥内,,33.552337,133.470474,E21,,0,,
1011_02,,咥内,,33.552306,133.47043,W11,,0,,
1012_01,,宮の奥,,33.552375,133.47604,E21,,0,,
1012_02,,宮の奥,,33.55234,133.475938,W11,,0,,
1013_01,,朝倉神社前,,33.551934,133.481052,E21,,0,,
1013_02,,朝倉神社前,,33.551841,133.481312,W11,,0,,
1014_01,,朝倉駅前,,33.550794,133.48592,E3,,0,,
1014_02,,朝倉駅前,,33.550788,133.485866,W2,,0,,
1015_01,,朝倉,,33.550763,133.488266,E31,,0,,
1015_02,,朝倉,,33.550707,133.488234,W21,,0,,
1016_01,,曙町,,33.551134,133.490635,E31,,0,,
1016_02,,曙町,,33.551136,133.490839,W21,,0,,
1017_01,,曙町東町,,33.551611,133.493373,E4,,0,,
1017_02,,曙町東町,,33.551567,133.493338,W22,,0,,
1018_01,,鴨部,,33.552225,133.496931,E41,,0,,
1018_02,,鴨部,,33.552172,133.496825,W23,,0,,
1019_01,,鏡川橋,,33.555907,133.49946,E41,,0,,
1019_02,,鏡川橋,,33.555672,133.498485,W24,,0,,
1020_01,,蛍橋,,33.555417,133.503202,E41,,0,,
1020_02,,蛍橋,,33.555376,133.503235,W24,,0,,
1021_01,,旭町三丁目,,33.55572,133.506533,E41,,0,,
1021_02,,旭町三丁目,,33.555699,133.5069,W24,,0,,
1022_01,,旭駅前通,,33.555971,133.509382,E41,,0,,
1022_02,,旭駅前通,,33.555995,133.509823,W3,,0,,
1023_01,,旭町一丁目,,33.556844,133.513916,C1,,0,,
1023_02,,旭町一丁目,,33.556638,133.513178,C1,,0,,
1024_01,,上町五丁目,,33.557317,133.517076,C1,,0,,
1024_02,,上町五丁目,,33.557262,133.517075,C1,,0,,
1025_01,,上町四丁目,,33.557364,133.520026,C1,,0,,
1025_02,,上町四丁目,,33.557305,133.519502,C1,,0,,
1026_01,,上町二丁目,,33.557388,133.523334,C1,,0,,
1026_02,,上町二丁目,,33.557326,133.522625,C1,,0,,
1027_01,,上町一丁目,,33.557399,133.525443,C1,,0,,
1027_02,,上町一丁目,,33.557334,133.524766,C1,,0,,
1028_01,,枡形,,33.557454,133.527669,C1,,0,,
1028_02,,枡形,,33.557343,133.526931,C1,,0,,
1029_01,,グランド通,,33.55768,133.529756,C1,,0,,
1029_02,,グランド通,,33.557512,133.529048,C1,,0,,
1030_01,,県庁前,,33.558235,133.532614,C1,,0,,
1030_02,,県庁前,,33.558023,133.531861,C1,,0,,
1031_01,,高知城前,,33.558616,133.534543,C1,,0,,
1031_02,,高知城前,,33.558431,133.533924,C1,,0,,
1032_01,,大橋通,,33.559053,133.536717,C1,,0,,
1032_02,,大橋通,,33.558859,133.53608,C1,,0,,
1033_01,,堀詰,,33.559569,133.539234,C1,,0,,
