仕業番号,仕業開始駅,仕業終了駅,便名,始発駅,終着駅,発時刻,着時刻,trip_id
1仕業,鏡川橋,桟橋車庫前,いの（朝倉 経由）,鏡川橋,伊野,05:51:00,06:13:00,土日祝_05時51分_系統11150
1仕業,鏡川橋,桟橋車庫前,文珠通（はりまや橋 経由）,伊野,文珠通,06:18:00,07:15:00,土日祝_06時18分_系統15060
1仕業,鏡川橋,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,07:20:00,08:24:00,土日祝_07時20分_系統6150
1仕業,鏡川橋,桟橋車庫前,桟橋車庫（はりまや橋 経由）,伊野,桟橋車庫前,08:29:00,09:28:30,土日祝_08時29分_系統15170
,,,,,,,,
2仕業,桟橋通四丁目,後免町,知寄町（はりまや橋 経由）,桟橋通四丁目,知寄町,05:54:30,06:18:00,土日祝_05時54分_系統17070
2仕業,桟橋通四丁目,後免町,朝倉（はりまや橋・鏡川橋 経由）,知寄町,朝倉,06:24:00,06:58:00,土日祝_06時24分_系統7130
2仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,朝倉,文珠通,07:05:00,07:45:00,土日祝_07時05分_系統13060
2仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,07:45:00,08:19:00,土日祝_07時45分_系統6110
2仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,鏡川橋,文珠通,08:19:00,08:52:30,土日祝_08時19分_系統11060
2仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,08:57:30,09:31:30,土日祝_08時57分_系統6110
2仕業,桟橋通四丁目,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,09:34:00,10:29:30,土日祝_09時34分_系統11011
2仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,10:36:00,11:31:30,土日祝_10時36分_系統1110
2仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,鏡川橋,文珠通,11:31:30,12:05:00,土日祝_11時31分_系統11060
2仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,12:10:00,12:44:00,土日祝_12時10分_系統6110
2仕業,桟橋通四丁目,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,12:56:30,13:52:00,土日祝_12時56分_系統11011
2仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,14:07:30,15:04:00,土日祝_14時07分_系統1110
2仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,鏡川橋,文珠通,15:04:00,15:37:30,土日祝_15時04分_系統11060
2仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,15:40:00,16:14:00,土日祝_15時40分_系統6110
2仕業,桟橋通四丁目,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,16:26:30,17:22:00,土日祝_16時26分_系統11011
2仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,17:32:00,18:29:00,土日祝_17時32分_系統1110
2仕業,桟橋通四丁目,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,18:34:00,19:30:00,土日祝_18時34分_系統11011
2仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,19:50:30,20:46:30,土日祝_19時50分_系統1110
2仕業,桟橋通四丁目,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,20:56:30,21:51:00,土日祝_20時56分_系統11011
,,,,,,,,
3仕業,桟橋通四丁目,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,桟橋通四丁目,伊野,05:58:30,06:54:00,土日祝_05時58分_系統17151
3仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,伊野,文珠通,07:00:00,08:00:00,土日祝_07時00分_系統15060
3仕業,桟橋通四丁目,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,08:05:00,09:08:00,土日祝_08時05分_系統6150
3仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,伊野,文珠通,09:13:00,10:12:30,土日祝_09時13分_系統15060
3仕業,桟橋通四丁目,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,10:12:30,11:14:00,土日祝_10時12分_系統6150
3仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,伊野,文珠通,11:19:00,12:17:30,土日祝_11時19分_系統15060
3仕業,桟橋通四丁目,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,12:17:30,13:20:00,土日祝_12時17分_系統6150
3仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,伊野,文珠通,13:25:00,14:25:00,土日祝_13時25分_系統15060
3仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,14:37:30,15:11:30,土日祝_14時37分_系統6110
3仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,15:21:30,15:55:00,土日祝_15時21分_系統11060
3仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,16:00:00,16:34:00,土日祝_16時00分_系統6110
3仕業,桟橋通四丁目,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,16:46:30,17:42:00,土日祝_16時46分_系統11011
3仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,17:47:30,18:44:00,土日祝_17時47分_系統1110
3仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,18:46:30,19:20:00,土日祝_18時46分_系統11060
3仕業,桟橋通四丁目,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,19:30:00,20:32:00,土日祝_19時30分_系統6150
3仕業,桟橋通四丁目,桟橋車庫前,知寄町（はりまや橋 経由）,伊野,知寄町,20:37:00,21:27:00,土日祝_20時37分_系統15070
3仕業,桟橋通四丁目,桟橋車庫前,桟橋車庫（はりまや橋 経由）,知寄町,桟橋車庫前,21:35:30,21:51:30,土日祝_21時35分_系統7170
,,,,,,,,
4仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,06:00:00,06:56:30,土日祝_06時00分_系統1110
4仕業,後免町,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,07:04:00,07:37:30,土日祝_07時04分_系統11060
4仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,07:55:00,08:29:00,土日祝_07時55分_系統6110
4仕業,後免町,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,08:31:30,09:05:00,土日祝_08時31分_系統11060
4仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,09:12:30,09:46:30,土日祝_09時12分_系統6110
4仕業,後免町,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,09:46:30,10:20:00,土日祝_09時46分_系統11060
4仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,10:25:00,10:58:30,土日祝_10時25分_系統6110
4仕業,後免町,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,10:59:00,11:54:30,土日祝_10時59分_系統11011
4仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,12:02:30,12:59:00,土日祝_12時02分_系統1110
4仕業,後免町,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,13:04:00,13:37:30,土日祝_13時04分_系統11060
4仕業,後免町,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,13:42:30,14:44:00,土日祝_13時42分_系統6150
