仕業番号,仕業開始駅,仕業終了駅,便名,始発駅,終着駅,発時刻,着時刻,trip_id
1仕業,鏡川橋,桟橋車庫前,いの（朝倉 経由）,鏡川橋,伊野,05:51:00,06:13:00,平日_05時51分_系統11150
1仕業,鏡川橋,桟橋車庫前,文珠通（はりまや橋 経由）,伊野,文珠通,06:18:00,07:14:30,平日_06時18分_系統15060
1仕業,鏡川橋,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,07:19:30,08:24:00,平日_07時19分_系統6150
1仕業,鏡川橋,桟橋車庫前,桟橋車庫（はりまや橋 経由）,伊野,桟橋車庫前,08:29:00,09:31:30,平日_08時29分_系統15170
,,,,,,,,
2仕業,桟橋通四丁目,桟橋車庫前,知寄町（はりまや橋 経由）,桟橋通四丁目,知寄町,05:55:30,06:15:30,平日_05時55分_系統17070
2仕業,桟橋通四丁目,桟橋車庫前,朝倉（はりまや橋・鏡川橋 経由）,知寄町,朝倉,06:23:30,06:58:30,平日_06時23分_系統7130
2仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,朝倉,文珠通,07:05:00,07:45:00,平日_07時05分_系統13060
2仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,07:52:00,08:26:30,平日_07時52分_系統6110
2仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,08:29:00,09:02:30,平日_08時29分_系統11060
2仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,09:02:30,09:37:00,平日_09時02分_系統6110
2仕業,桟橋通四丁目,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,09:48:30,10:44:30,平日_09時48分_系統11010
2仕業,桟橋通四丁目,桟橋車庫前,朝倉（はりまや橋・鏡川橋 経由）,後免町,朝倉,10:52:00,11:58:30,平日_10時52分_系統1130
2仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,朝倉,文珠通,12:04:30,12:45:00,平日_12時04分_系統13060
2仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,12:52:30,13:26:30,平日_12時52分_系統6110
2仕業,桟橋通四丁目,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,13:31:30,14:27:00,平日_13時31分_系統11010
